报警ID,标签名称,报警类型,条件,阈值,位偏移,消息,优先级,启用
1,MW300,状态变化,假变真,0.0,0,0000,中,True
2,MW300,状态变化,假变真,0.0,1,1111,中,True
3,MW300,状态变化,假变真,0.0,2,2222,中,True
4,MW300,状态变化,假变真,0.0,3,333,中,True
5,MW300,状态变化,假变真,0.0,4,44,中,True
6,MW300,状态变化,假变真,0.0,5,55,中,True
7,MW300,状态变化,假变真,0.0,6,66,中,True
8,MW300,状态变化,假变真,0.0,7,77,中,True
9,MW300,状态变化,假变真,0.0,8,88,中,True
10,MW300,状态变化,假变真,0.0,9,99,中,True
11,MW300,状态变化,假变真,0.0,10,10,中,True
12,MW300,状态变化,假变真,0.0,11,11,中,True
13,MW300,状态变化,假变真,0.0,12,12,中,True
14,MW300,状态变化,假变真,0.0,13,13,中,True
15,MW300,状态变化,假变真,0.0,14,14,中,True
16,MW300,状态变化,假变真,0.0,15,15,中,True
